"","X","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"25",19,"Derrick Henry","RB","BAL",215,19.2,2.54,176,234,71.6,75.2,64.8,25,22,26,12,4,17.6,39.7,30,173,42,44
"26",33,"Trey McBride","TE","ARI",163,17.6,0.798,139,191,41.9,38.6,48.4,25,52,32,4,2,55.8,16,50,121,42,-8
"27",36,"George Kittle","TE","SF",162,10.7,7.02,146,177,41.1,45.7,34.6,27,43,46,5,3,59.7,13.9,9,121,41,-9
"28",21,"Devon Achane","RB","MIA",213,29,2.72,181,257,69,79.4,87.2,28,18,14,13,4,40.1,18.2,66,173,40,42
"29",23,"James Cook","RB","BUF",210,22.5,2.16,182,246,66.3,80.7,76,29,16,18,14,4,39.6,18.7,49,173,37,39
"30",39,"Lamar Jackson","QB","BAL",353,26.9,6.98,317,392,39.4,35.8,45.2,29,54,33,4,3,36.4,23.7,23,316,37,-9999
"31",24,"Joe Mixon","RB","HOU",208,18,1.11,181,228,64.2,80,58.2,31,17,31,15,4,38.1,28.4,21,173,35,37
"32",26,"Alvin Kamara","RB","NO",207,19.3,2.77,179,241,63.1,77.7,71.2,32,21,20,16,5,51,22.9,24,173,34,36
"33",47,"Dalton Kincaid","TE","BUF",155,21.7,3.8,127,182,34,25.7,39.5,32,72,40,6,3,70.2,9.93,62,121,34,-16
"34",29,"Kenneth Walker III","RB","SEA",204,20.8,18.7,179,236,60.3,77.9,65.9,34,20,25,17,6,40.5,18.5,36,173,31,33
"35",30,"Garrett Wilson","WR","NYJ",221,19.5,8.21,205,256,52.3,59.5,60.2,35,33,30,8,5,17.8,37.6,24,191,30,50
"36",48,"C.J. Stroud","QB","HOU",346,26.5,3.96,315,387,32.4,33.5,40,35,60,39,5,3,57.1,13.8,26,316,30,-9999
"37",50,"Kyle Pitts","TE","ATL",151,16.1,0.152,137,180,30.2,36.3,36.6,35,53,44,7,3,68.3,11.1,44,121,30,-20
"38",51,"Evan Engram","TE","JAC",151,14,7.47,129,172,30.1,28.7,29.2,35,69,51,7,4,78.2,10.8,18,121,30,-20
