"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"392","Travon Walker","DL","JAC",32.8,1.2,0.162,31.9,33.6,-10.1,-8.14,-12.3,,193,240,,5,,7.32,45,,,-9999
"393","George Karlaftis","DL","KC",32.7,8.63,0.0569,27.1,39,-10.2,-12.9,-6.88,,228,189,,5,,7.01,65,,,-9999
"394","Cameron Jordan","DL","NO",32.6,3.96,0.394,30.1,35.5,-10.3,-10,-10.4,,208,218,,5,,,78,,,-9999
"395","Tremaine Edmunds","LB","CHI",78.8,1.27,0.474,78,79.8,-10.4,-9.25,-11.2,,206,229,,4,,6.67,32,,,-9999
"396","Keion White","DL","NE",32.2,,0.3,,,-10.7,,,,,,,6,,,17,,,-9999
"397","Keion White","DL","NE",32.2,,0.3,,,-10.7,,,,,,,6,,,97,,,-9999
"398","Devon Witherspoon","DB","SEA",78.8,5.73,0.453,75.1,83,-10.8,-9.18,-15.3,,205,269,,4,,6.94,19,,,-9999
"399","Cody Barton","LB","TEN",78.4,2.69,1.08,76.6,80.3,-10.9,-10.6,-10.6,,214,221,,4,,8.33,31,,,-9999
"400","Byron Young","DL","LAR",31.9,,0.529,,,-11,,,,,,,6,,,,,,-9999
"401","Jaquan Brisker","DB","CHI",78.3,9.62,0.329,72.1,85.4,-11.3,-12.1,-12.9,,224,246,,4,,6.79,30,,,-9999
"402","Kwity Paye","DL","IND",31.4,0.566,0.983,31,31.8,-11.5,-9.06,-14.1,,204,259,,6,,,5,,,-9999
"403","Alontae Taylor","DB","NO",78,6.15,0.427,73.5,81.9,-11.6,-10.8,-16.3,,215,285,,4,,4.97,54,,,-9999
"404","Patrick Queen","LB","PIT",77.3,0.424,0.263,77,77.6,-12,-10.3,-13.4,,211,250,,4,,13.2,22,,,-9999
"405","Cam Taylor-Britt","DB","CIN",77.5,2.05,2.28,76.2,79,-12,-8.03,-19.2,,191,320,,5,,,61,,,-9999
"406","Edgerrin Cooper","LB","GB",77,13.7,1.51,66.9,85.8,-12.2,-20.3,-5.17,,315,176,,5,,,56,,,-9999
"407","Quinnen Williams","DL","NYJ",30.4,5.52,0.112,26.3,33.9,-12.5,-13.7,-12,,237,236,,6,,,51,,,-9999
"408","Zach Sieler","DL","MIA",30.3,7.21,0.221,25,34.9,-12.6,-15.1,-11,,258,227,,6,,,46,,,-9999
"409","Adam Butler","DL","LVR",30.1,2.97,0.0296,27.9,32,-12.8,-12.2,-13.9,,225,256,,6,,,86,,,-9999
"410","Jonathon Cooper","DL","DEN",30,9.12,0.341,23.3,35.9,-12.8,-16.7,-10,,273,214,,6,,,77,,,-9999
"411","Jonathon Cooper","DL","DEN",30,9.12,0.341,23.3,35.9,-12.8,-16.7,-10,,273,214,,6,,,85,,,-9999
"412","Christian Barmore","DL","NE",29.7,3.54,0.27,27.1,31.9,-13.2,-13,-13.9,,229,257,,6,,,53,,,-9999
"413","Jonathan Allen","DL","MIN",29.4,7,0.0167,24.3,33.9,-13.5,-15.8,-12,,262,237,,6,,,60,,,-9999
"414","Grover Stewart","DL","IND",29.4,0.919,0.131,28.7,30,-13.5,-11.3,-15.9,,218,280,,6,,,37,,,-9999
"415","Zaven Collins","DL","ARI",29.3,4.17,0.367,26.2,31.9,-13.6,-13.9,-13.9,,239,258,,6,,,94,,,-9999
"416","Devin Lloyd","LB","JAC",75.5,14.5,1.44,64.9,84.8,-13.7,-22.4,-6.18,,344,185,,5,,5.47,73,,,-9999
"417","Davon Hamilton","DL","JAC",28.9,,0.0663,,,-14,,,,,,,6,,,,,,-9999
"418","B.J. Hill","DL","CIN",28.8,1.27,0.0926,28,29.8,-14,-12,-16.1,,221,283,,6,,,38,,,-9999
"419","Malcolm Koonce","DL","LVR",28.7,1.13,0.0411,28,29.6,-14.1,-12,-16.3,,222,284,,6,,,26,,,-9999
"420","CJ West","DL","SF",28.7,,0.17,,,-14.2,,,,,,,6,,,,,,-9999
"421","Da'Ron Payne","DL","WAS",28.5,10.2,0.154,21,35,-14.3,-19,-10.8,,299,225,,6,,,92,,,-9999
"422","Will Harris","DB","WAS",75.3,32.5,0.818,54.5,99.1,-14.3,-29.8,0.855,,411,125,,5,,4.8,98,,,-9999
"423","Dexter Lawrence","DL","NYG",28.4,10.1,0.187,20.9,34.8,-14.5,-19.1,-11,,303,228,,6,,,88,,,-9999
"424","Marshawn Kneeland","DL","DAL",28.2,15.6,0.0898,18.2,39.6,-14.7,-21.8,-6.25,,331,186,,6,,,99,,,-9999
"425","Geno Stone","DB","CIN",74.4,1.77,0.981,73.1,75.6,-15.1,-11.1,-22.7,,217,361,,5,,,65,,,-9999
"426","Jack Campbell","LB","DET",74.1,1.63,0.223,73,75.3,-15.2,-14.2,-15.7,,250,276,,5,,,24,,,-9999
"427","Carson Schwesinger","LB","CLE",73.8,1.77,0.181,72.5,75,-15.4,-14.7,-16,,253,282,,5,,,39,,,-9999
"428","Terrel Bernard","LB","BUF",73.7,20.4,0.481,58.7,86.7,-15.6,-28.6,-4.27,,394,162,,5,,9.58,88,,,-9999
"429","Demario Davis","LB","NO",73.2,11,1.35,66.2,81.2,-16.1,-21.1,-9.73,,323,210,,5,,4.68,59,,,-9999
"430","Justin Reid","DB","NO",73.5,6.93,0.615,68.4,77.9,-16.1,-15.9,-20.4,,263,334,,5,,,35,,,-9999
"431","Taron Johnson","DB","BUF",72.8,13.4,0.104,63,81.4,-16.7,-21.2,-16.8,,326,288,,5,,,74,,,-9999
"432","Josh Metellus","DB","MIN",72.7,34.7,0.424,50.5,98.2,-16.8,-33.7,0,,433,130,,5,,5.78,88,,,-9999
"433","Tykee Smith","DB","TB",72.3,11.2,0.188,65.2,80.5,-17.2,-19.1,-17.7,,302,305,,5,,,68,,,-9999
"434","Blake Cashman","LB","MIN",71.8,1.27,1.31,71,72.8,-17.4,-16.2,-18.2,,268,312,,5,,16.6,12,,,-9999
"435","Michael Jackson","DB","CAR",72.1,3.25,0.15,70,74.5,-17.4,-14.2,-23.7,,248,372,,5,,,56,,,-9999
"436","Kamari Lassiter","DB","HOU",72,1.56,0.28,70.8,73,-17.6,-13.4,-25.3,,236,391,,5,,,7,,,-9999
"437","Marlon Humphrey","DB","BAL",71.7,2.9,0.147,69.6,73.6,-17.9,-14.7,-24.7,,252,385,,5,,,40,,,-9999
"438","Quentin Lake","DB","LAR",71.6,6.79,0.0608,66.6,75.9,-18,-17.7,-22.4,,286,357,,5,,,53,,,-9999
"439","Derek Stingley Jr.","DB","HOU",71.5,6.86,0.0296,67.1,76.5,-18.1,-17.2,-21.7,,282,346,,5,,,84,,,-9999
"440","Zyon McCollum","DB","TB",71.5,0.707,0.084,71,72,-18.1,-13.3,-26.3,,233,401,,5,,,58,,,-9999
"441","Evan Williams","DB","GB",71.4,11,0.122,64.4,79.4,-18.2,-19.9,-18.8,,306,315,,5,,1.85,72,,,-9999
"442","Ji'Ayir Brown","DB","SF",71.3,24.8,0.308,55.4,89.5,-18.3,-28.9,-8.76,,399,205,,5,,,91,,,-9999
"443","Talanoa Hufanga","DB","DEN",70.9,4.81,0.00198,67.9,74.5,-18.6,-16.4,-23.8,,270,373,,5,,3.82,25,,,-9999
"444","Bryan Cook","DB","KC",70.9,10.6,0.341,64.2,78.7,-18.6,-20.1,-19.5,,313,323,,6,,,70,,,-9999
"445","Nate Landman","LB","LAR",70.5,5.3,0.638,66.6,73.9,-18.7,-20.6,-17,,319,293,,6,,5.83,71,,,-9999
"446","Kyle Dugger","DB","NE",70.6,16.2,0.368,60.2,82.5,-19,-24,-15.7,,357,277,,6,,5.62,93,,,-9999
"447","Eric Murray","DB","JAC",70.2,23.3,0.0637,55.3,87.3,-19.3,-28.9,-10.9,,400,226,,6,,3.94,95,,,-9999
"448","Quay Walker","LB","GB",69.9,1.7,0.294,68.6,71,-19.4,-18.6,-20,,294,329,,6,,6.02,8,,,-9999
"449","Tyler Nubin","DB","NYG",70.2,4.31,0.0508,67,72.9,-19.4,-17.3,-25.3,,284,392,,6,,6.58,14,,,-9999
"450","Jalen Pitre","DB","HOU",70.1,19.7,0.0238,55.7,82.7,-19.4,-28.6,-15.5,,395,272,,6,,,75,,,-9999
"451","Kamren Kinchens","DB","LAR",70.1,,0.1,,,-19.5,,,,,,,6,,,32,,,-9999
"452","Ivan Pace","LB","MIN",69.6,10.7,2.39,62.8,77.4,-19.6,-24.5,-13.5,,364,251,,6,,5.81,85,,,-9999
"453","Ja'Quan McMillian","DB","DEN",70,,0.295,,,-19.6,,,,,,,6,,,,,,-9999
"454","Chauncey Gardner-Johnson","DB","HOU",69.7,1.06,0.156,68.9,70.4,-19.9,-15.3,-27.9,,259,409,,6,,,79,,,-9999
"455","Jalen Thompson","DB","ARI",69.5,11.5,0.0759,62.2,78,-20,-22.1,-20.2,,336,333,,6,,,44,,,-9999
"456","Minkah Fitzpatrick","DB","MIA",69.5,5.3,1.17,66.1,73.4,-20.1,-18.2,-24.9,,290,387,,6,,7.3,51,,,-9999
"457","Andrew Wingard","DB","JAC",68.3,,0.212,,,-21.3,,,,,,,6,,,81,,,-9999
"458","Kamren Curl","DB","LAR",68.1,15.1,0.0439,57,77.8,-21.5,-27.3,-20.5,,385,335,,6,,,86,,,-9999
"459","Cameron McGrone","LB","IND",67.2,,0.884,,,-22,,,,,,,6,,4.49,3,,,-9999
"460","Frankie Luvu","LB","WAS",66.3,3.54,0.324,64.1,68.9,-22.9,-23.2,-22.1,,354,352,,6,,10.6,20,,,-9999
"461","Christian Rozeboom","LB","CAR",66,3.04,1.92,64,68.2,-23.2,-23.2,-22.7,,355,362,,6,,8.62,68,,,-9999
"462","Payton Wilson","LB","PIT",64.1,9.05,1.46,57.4,69.9,-25.2,-29.8,-21.1,,412,341,,7,,,83,,,-9999
"463","Henry To'oTo'o","LB","HOU",62.6,9.76,0.4,55.4,68.9,-26.6,-31.8,-22.1,,423,353,,7,,,81,,,-9999
"464","Tyrice Knight","LB","SEA",62.2,16.5,0.101,50.1,72.8,-27,-37.2,-18.2,,455,313,,7,,,86,,,-9999
"465","Jack Sanborn","LB","DAL",62.1,27,0.423,42.3,79.4,-27.1,-45,-11.6,,481,233,,7,,13.8,95,,,-9999
"466","Micah McFadden","LB","NYG",61.7,3.54,1.68,59.1,63.9,-27.6,-28.2,-27,,390,406,,7,,2.62,46,,,-9999
"467","Nick Martin","LB","SF",60,,0.629,,,-29.2,,,,,,,7,,,66,,,-9999
"468","Pete Werner","LB","NO",59.4,0.566,0.891,59,59.8,-29.9,-28.3,-31.2,,392,436,,7,,,63,,,-9999
"469","Elandon Roberts","LB","LVR",58.5,5.37,0.322,54.5,61.9,-30.8,-32.7,-29,,430,421,,7,,7.61,69,,,-9999
"470","Mack Wilson","LB","ARI",58.2,1.77,1.62,57,59.5,-31.1,-30.2,-31.5,,413,439,,8,,4.3,54,,,-9999
"471","Dre Greenlaw","LB","DEN",56.5,45,1.13,23.5,85.3,-32.7,-63.8,-5.63,,521,180,,8,,,98,,,-9999
"472","Omar Speights","LB","LAR",55.4,0.636,0.234,55,55.9,-33.8,-32.3,-35.1,,426,461,,8,,,80,,,-9999
"473","Divine Deablo","LB","ATL",55.2,7.35,1.35,49.8,59.9,-34.1,-37.5,-31.1,,457,435,,8,,,92,,,-9999
"474","Trevin Wallace","LB","CAR",53.8,17,0.237,41.3,64.7,-35.4,-45.9,-26.2,,487,400,,8,,,90,,,-9999
"475","Germaine Pratt","LB","LVR",53.6,26.9,0.501,36.4,73.3,-35.6,-50.9,-17.6,,498,303,,8,,6.02,93,,,-9999
"476","Denzel Perryman","LB","LAC",53.1,,0.062,,,-36.1,,,,,,,8,,,75,,,-9999
"477","Nakobe Dean","LB","PHI",53,3.11,0.114,51,55.3,-36.2,-36.2,-35.6,,450,467,,8,,6.67,76,,,-9999
"478","Demetrius Knight","LB","CIN",52.9,6.22,0.124,48.4,56.9,-36.3,-38.9,-34.1,,462,449,,8,,,58,,,-9999
"479","Marcelino McCrary-Ball","LB","NYJ",52.8,,1.1,,,-36.4,,,,,,,9,,,,,,-9999
"480","Jeremiah Trotter Jr.","LB","PHI",51.7,,0.8,,,-37.5,,,,,,,9,,,,,,-9999
"481","Jeremiah Owusu-Koramoah","LB","CLE",50.9,,0.26,,,-38.3,,,,,,,9,,,99,,,-9999
"482","Christian Elliss","LB","NE",50.6,4.03,0.24,48.1,53.6,-38.6,-39.2,-37.4,,464,478,,9,,,78,,,-9999
"483","Christian Elliss","LB","NE",50.6,4.03,0.24,48.1,53.6,-38.6,-39.2,-37.4,,464,478,,9,,,64,,,-9999
"484","James Williams","LB","TEN",50.4,,0.105,,,-38.8,,,,,,,9,,,61,,,-9999
"485","James Williams","LB","TEN",50.4,,0.105,,,-38.8,,,,,,,9,,,97,,,-9999
