"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"117","Dolphins","DST","MIA",77.3,12.7,0.498,62,94,-18.1,-24.3,-12.5,115,360,242,27,14,170,0,81,85.3,-8,-9999
"118","Saints","DST","NO",76.8,14.1,2.12,55.6,92.7,-18.6,-30.7,-13.8,118,416,253,28,15,170,0,71,85.3,-8.5,-9999
"119","DeVonta Smith","WR","PHI",227,15.4,2.49,211,251,26.7,38.8,10.9,119,56,80,24,5,61.6,12.5,15,236,-9,6
"120","Tucker Kraft","TE","GB",154,17.2,2.91,121,177,7.12,-10.2,1.41,119,209,113,11,6,109,3.96,34,163,-9,-67
"121","Joshua Karty","K","LAR",137,6.78,0.885,130,146,-10.3,-8.16,-11.8,119,195,235,18,2,164,1.49,16,146,-9,-9999
"122","D'Andre Swift","RB","CHI",210,29,5.25,176,261,61.8,63.1,74.6,122,39,32,21,6,58.2,15.8,62,220,-10,-11
"123","Cam Little","K","JAC",136,10.7,0.733,121,155,-11.2,-17.2,-2.23,122,283,145,19,2,157,2.17,68,146,-10,-9999
"124","Jaguars","DST","JAC",74.6,13.3,0.869,51.7,89.2,-20.7,-34.6,-17.3,124,438,297,29,16,170,0,65,85.3,-10.7,-9999
"125","Xavier Worthy","WR","KC",225,21,1.37,191,252,24.2,18.9,11.9,125,71,78,25,5,56.5,13,57,236,-11,4
"126","Jason Myers","K","SEA",135,3.93,0.292,130,140,-11.9,-8.15,-17.5,125,194,300,20,2,165,0.1,6,146,-11,-9999
"127","Jake Moody","K","SF",135,8.63,2.45,126,149,-12.2,-12.3,-8.19,125,226,201,20,2,167,1.68,48,146,-11,-9999
"128","Bryce Young","QB","CAR",254,19.3,2.53,229,281,-28,-35,-26.8,125,441,404,21,7,155,2.74,43,265,-11,-9999
"129","Titans","DST","TEN",73.8,13.1,2.43,56.5,88.5,-21.6,-29.8,-18,129,410,311,30,17,170,0,48,85.3,-11.5,-9999
"130","Jake Ferguson","TE","DAL",151,7.73,4.21,144,165,4.21,12.8,-10.1,130,84,215,12,6,132,2.72,6,163,-12,-70
"131","Jerry Jeudy","WR","CLE",223,22.9,0.843,190,262,22.8,17.7,22.6,131,73,61,26,5,84.2,8.33,49,236,-13,2
"132","Geno Smith","QB","LVR",252,14.6,2.81,232,269,-30.5,-31.8,-39.2,131,422,488,22,7,151,4.21,20,265,-13,-9999
"133","Calvin Ridley","WR","TEN",222,16.5,1.09,204,249,22,32.5,9.27,133,60,86,27,5,68.2,12.9,28,236,-14,1
"134","Cairo Santos","K","CHI",132,6,1.12,125,142,-14.6,-13.3,-15.6,133,234,274,22,3,173,0.5,26,146,-14,-9999
"135","Patriots","DST","NE",71.3,10.6,2.26,57.3,82.8,-24,-29,-23.7,133,402,371,31,18,166,0.9,90,85.3,-14,-9999
"136","Tony Pollard","RB","TEN",205,20.3,2.8,168,226,56.6,54.4,40.3,136,46,45,22,6,65.1,15.4,22,220,-15,-16
"137","Tetairoa McMillan","WR","CAR",221,22.9,5,181,255,20.9,8.88,15.6,136,99,69,28,5,66.4,13.6,61,236,-15,0
"138","Chad Ryland","K","ARI",131,11.7,2.28,116,150,-15.8,-22.2,-7.25,136,340,196,23,3,171,0,87,146,-15,-9999
"139","Dallas Goedert","TE","PHI",147,17.4,1.12,115,168,0,-16.9,-7.84,139,278,197,13,6,133,2.72,37,163,-16,-74
"140","Michael Penix Jr.","QB","ATL",249,12.3,0.0903,236,267,-33.3,-28.2,-40.8,139,391,492,23,7,147,2.44,17,265,-16,-9999
"141","Tua Tagovailoa","QB","MIA",249,21.1,0.00823,220,277,-33.4,-43.3,-30.6,139,476,434,23,7,142,3.35,49,265,-16,-9999
"142","Matthew Stafford","QB","LAR",249,16.5,6.91,229,273,-33.4,-35.1,-34.7,139,443,456,23,7,148,4.61,51,265,-16,-9999
"143","Panthers","DST","CAR",69.1,11.3,0,57,85.9,-26.3,-29.3,-20.6,143,404,336,32,18,170,0.1,58,85.3,-16.2,-9999
"144","Colston Loveland","TE","CHI",146,31.1,1.22,88.5,186,-1.12,-43,10.2,144,474,82,14,6,119,4.39,94,163,-17,-75
"145","Spencer Shrader","K","IND",129,19.2,2.4,100,153,-18,-37.7,-4.49,144,459,166,24,3,169,0,81,146,-17,-9999
