"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Daiyan Henley","LB","LAC",91.2,1.27,0.194,90.2,92,1.93,2.97,1.02,117,112,121,6,"2",NA,6.89,34
"Broncos","DST","DEN",97.2,9.65,0.484,87.3,113,1.89,1.03,6.6,118,122,94,1,"1",105,3.64,3
"T.J. Edwards","LB","CHI",91,1.48,1.2,90,92.1,1.73,2.76,1.1,119,114,119,7,"2",NA,11.1,19
"Texans","DST","HOU",96.7,8.56,1.41,85.5,108,1.41,-0.793,1.3,120,135,116,2,"2",134,1.72,19
"Jake Elliott","K","PHI",148,4.49,1.27,140,153,1.29,2.14,-4.38,121,116,164,6,"1",149,1.84,13
"Kevin Byard","DB","CHI",90.6,11.6,1.04,83.2,99.1,1.04,-1.09,0.866,122,137,124,9,"3",NA,9.22,42
"Javonte Williams","RB","DAL",149,13.9,0.268,133,169,0.54,19.4,-17.4,123,70,298,33,"9",116,6.29,17
"Ernest Jones","LB","SEA",89.8,3.39,0.305,87.3,91.9,0.537,0.0173,0.984,124,129,123,8,"2",NA,10.1,27
"Bradley Chubb","DL","MIA",43.4,3.32,0.0466,41.2,45.8,0.505,1.18,-0.0513,125,121,133,8,"3",NA,6.14,49
"Bradley Chubb","DL","MIA",43.4,3.32,0.0466,41.2,45.8,0.505,1.18,-0.0513,125,121,133,8,"3",NA,6.14,59
"Derrick Brown","DL","CAR",43.3,10.2,0.459,35.8,49.8,0.459,-4.22,3.98,126,156,104,9,"3",NA,NA,81
"J.K. Dobbins","RB","DEN",149,29.1,0.273,113,198,0.273,-0.194,12.5,127,134,75,34,"9",102,6.36,77
"Jamien Sherwood","LB","NYJ",89.5,2.33,0.232,87.8,91,0.232,0.491,0,128,127,130,9,"2",NA,10.4,15
"Matt Gay","K","WAS",147,7.97,0.023,139,161,0.023,0.806,3.41,129,125,107,7,"1",161,1.5,65
"Caleb Williams","QB","CHI",282,18.7,1.19,264,317,0,0,9.45,130,130,85,13,"5",108,4.76,74
"Joe Mixon","RB","HOU",148,38.2,5.08,113,223,0,0,36.7,130,130,48,35,"9",103,7.4,99
"Jakobi Meyers","WR","LVR",201,12.4,3.21,181,217,0,9.05,-23.1,130,98,369,36,"6",99,6,11
"Dallas Goedert","TE","PHI",147,17.4,1.12,115,168,0,-16.9,-7.84,130,278,197,13,"6",133,2.72,37
"Chris Boswell","K","PIT",147,4.84,0.713,142,154,0,4.57,-3.74,130,105,156,8,"1",141,1.63,55
"Ravens","DST","BAL",95.3,6.59,0.759,89.1,106,0,2.82,0,130,113,130,3,"3",124,1.85,6
"Myles Garrett","DL","CLE",42.9,4.38,0.964,40.1,46.1,0,0,0.223,130,130,127,10,"3",NA,17.4,19
"Roquan Smith","LB","BAL",89.2,2.69,0.766,87.3,91,0,0,-0.00525,130,130,131,10,"2",NA,29.7,5
"Antoine Winfield","DB","TB",89.6,8.49,0.884,84.1,95.8,0,-0.138,-2.46,130,133,146,10,"3",NA,8.59,21
"Harrison Butker","K","KC",146,5.83,0.0529,138,154,-0.713,0.31,-3.15,131,128,153,9,"1",149,1.88,19
"Eagles","DST","PHI",94.6,9.5,4.25,79,104,-0.759,-7.3,-2.73,132,185,147,4,"4",113,2.09,23
"Tyler Bass","K","BUF",146,8.83,2.33,135,161,-0.766,-2.56,3.86,133,147,106,10,"1",149,1.66,35
"Nick Bolton","LB","KC",88.5,5.3,2.33,85.1,92.4,-0.766,-2.19,1.4,134,143,114,11,"3",NA,7.46,44
"Calen Bullock","DB","HOU",88.7,5.3,0.672,85.3,92.6,-0.884,1.01,-5.68,135,123,181,11,"3",NA,NA,82
"Khalil Mack","DL","LAC",41.9,0.141,0.223,41.8,42,-0.964,1.74,-3.87,136,119,157,11,"3",NA,4.8,4
"Khalil Mack","DL","LAC",41.9,0.141,0.223,41.8,42,-0.964,1.74,-3.87,136,119,157,11,"3",NA,4.8,42
"Colston Loveland","TE","CHI",146,31.1,1.22,88.5,186,-1.12,-43,10.2,137,474,82,14,"6",119,4.39,94
"Jared Goff","QB","DET",281,20.3,2.72,259,313,-1.19,-4.96,5.15,139,163,98,14,"5",101,6.15,77
"Jeffery Simmons","DL","TEN",41.7,3.54,0.12,39.1,43.9,-1.19,-0.978,-1.92,138,136,143,12,"3",NA,6.91,22
"Josh Allen","DL","JAC",41.6,2.19,0.128,40,43,-1.31,-0.111,-2.9,140,132,150,13,"3",NA,9.46,18
"Josh Allen","DL","JAC",41.6,2.19,0.128,40,43,-1.31,-0.111,-2.9,140,132,150,13,"3",NA,9.46,62
"Harold Landry","DL","NE",41.4,2.19,0.436,40,43,-1.44,-0.0325,-2.82,141,131,149,14,"3",NA,4.22,10
"Harold Landry","DL","NE",41.4,2.19,0.436,40,43,-1.44,-0.0325,-2.82,141,131,149,14,"3",NA,4.22,56
"Camryn Bynum","DB","IND",88,0.919,0.387,87.4,88.7,-1.56,3.15,-9.57,142,109,209,12,"3",NA,NA,18
"Brian Burns","DL","NYG",41,0,0.743,41,41,-1.87,0.935,-4.87,143,124,171,15,"3",NA,8.42,1
"Brian Burns","DL","NYG",41,0,0.743,41,41,-1.87,0.935,-4.87,143,124,171,15,"3",NA,8.42,41
"Coby Bryant","DB","SEA",87.6,33.3,0.445,66.3,112,-1.94,-18,13.8,144,287,72,13,"3",NA,5.52,96
"Dalton Kincaid","TE","BUF",144,7.25,1.19,136,156,-2.33,4.29,-18.9,145,106,317,15,"6",134,2.68,9
"Brandon Jones","DB","DEN",87.2,14,0.145,78.2,97.5,-2.39,-6.06,-0.793,146,175,137,14,"3",NA,7.46,49
"Jordan Battle","DB","CIN",87,4.31,1.79,84.3,90.2,-2.53,0,-8.06,147,130,200,15,"3",NA,5.45,28
"Danielle Hunter","DL","HOU",40.3,8.77,0.284,33.8,45.9,-2.62,-6.25,0,148,176,130,16,"4",NA,9.05,58
"Danielle Hunter","DL","HOU",40.3,8.77,0.284,33.8,45.9,-2.62,-6.25,0,148,176,130,16,"4",NA,9.05,96
"Leonard Williams","DL","SEA",40,8.2,0.248,34.7,46,-2.9,-5.34,0.129,149,172,129,17,"4",NA,6.24,64
"Wil Lutz","K","DEN",144,5.16,0.154,139,153,-3.1,0.728,-4.32,150,126,163,11,"1",155,1.58,29
"Kaden Elliss","LB","ATL",86.1,0.212,0.158,86,86.3,-3.1,-1.26,-4.67,151,141,169,12,"3",NA,16.9,10
"Trey Hendrickson","DL","CIN",39.7,7.21,0.497,35.1,45,-3.15,-4.96,-0.847,152,164,138,18,"4",NA,7.34,40
"Stefon Diggs","WR","NE",197,14.2,2.64,181,222,-3.21,9.06,-17.5,153,97,299,37,"6",96.7,8.36,32
"Evan McPherson","K","CIN",144,8.98,0.77,133,158,-3.25,-4.7,1.01,154,162,122,12,"1",165,1.62,61
"Lavonte David","LB","TB",86,1.56,0.6,84.8,87,-3.26,-2.43,-3.99,155,146,159,13,"3",NA,14.2,7
"Kyle Pitts","TE","ATL",143,9.36,0.00779,132,157,-3.53,0,-18.7,156,130,314,16,"6",135,4.35,20
"Zach Ertz","TE","WAS",143,16.6,2.61,124,171,-3.53,-7.34,-4.05,157,186,161,17,"7",145,2.43,54
