"","X","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"231",232,"Demario Douglas","WR","NE",127,6.18,4.54,120,138,-63.3,-52.2,-72.2,231,203,248,61,10,167,2.24,19,191,-64,-48
"232",233,"Tyler Allgeier","RB","ATL",107,18.9,1.33,83.3,135,-63.6,-69.7,-68.8,231,232,238,45,10,135,2.79,45,171,-64,-68
"233",234,"Zach Charbonnet","RB","SEA",106,13.1,2.13,85.4,123,-64.9,-67.6,-81.3,233,230,265,46,10,135,2.23,8,171,-65,-69
"234",231,"Sam Darnold","QB","MIN",250,42.4,7.35,187,301,-63.2,-93.1,-46.5,234,298,203,27,8,168,7.94,91,316,-66,-9999
"235",235,"Blake Corum","RB","LAR",104,26.4,0.767,55.3,130,-67,-97.7,-73.8,235,319,249,47,10,119,4.7,73,171,-67,-71
"236",236,"Jaleel McLaughlin","RB","DEN",103,11.2,0.243,89.9,116,-67.8,-63.1,-87.9,236,222,276,48,10,139,3.07,15,171,-68,-72
"237",237,"Mike Williams","WR","NYJ",123,31.7,3.28,61.6,153,-67.8,-110,-57,236,334,220,62,10,140,3.44,99,191,-68,-52
"238",238,"Trey Benson","RB","ARI",103,23.9,8.02,61.4,134,-68,-91.6,-69.8,236,293,240,48,11,120,5.55,63,171,-68,-72
"239",240,"Darnell Mooney","WR","ATL",119,29.1,0.428,63.5,147,-71.1,-108,-62.8,239,332,230,63,10,158,2.62,97,191,-72,-56
"240",241,"Michael Wilson","WR","ARI",119,23.2,2.31,94,163,-71.5,-77.8,-47.3,239,249,206,63,10,161,1.84,89,191,-72,-56
"241",239,"Bo Nix","QB","DEN",243,22.2,3.79,220,275,-70.6,-60.4,-71.8,241,220,246,28,8,148,5.1,77,316,-73,-9999
"242",242,"John Stephens Jr.","WR","DAL",117,,0.453,,,-73.8,,,242,,,65,10,,,,191,-74,-58
"243",243,"Josh Downs","WR","IND",116,20.7,0.877,92,156,-74.3,-79.9,-54.1,243,253,217,66,10,155,1.37,93,191,-75,-59
"244",245,"Wan'Dale Robinson","WR","NYG",115,13.3,4,98.1,133,-75.2,-73.7,-77.7,244,240,254,67,11,177,1.72,67,191,-76,-60
"245",246,"Kareem Hunt","RB","FA",94.5,,2.33,,,-76,,,245,,,50,11,,,99,171,-76.5,-80.5
"246",244,"Bryce Young","QB","CAR",239,23.6,4,190,255,-74.4,-90.1,-92.6,246,279,284,29,8,170,3.79,69,316,-77,-9999
"247",248,"Khalil Herbert","RB","CHI",92.2,20.7,12.2,71.1,129,-78.4,-81.9,-75.4,247,259,250,51,12,152,2.37,77,171,-78.8,-82.8
"248",249,"Dontayvion Wicks","WR","GB",111,18.2,3.86,84,141,-79.2,-87.9,-69.5,248,272,239,68,11,153,2.69,91,191,-80,-64
"249",247,"Russell Wilson","QB","PIT",235,28.8,29.3,197,271,-78.4,-83.5,-76.2,249,265,252,30,9,157,4.56,83,316,-81,-9999
"250",250,"Marvin Mims","WR","DEN",107,12.5,0.494,91.6,126,-83,-80.3,-84.4,250,254,269,69,11,180,2.1,66,191,-84,-68
"251",251,"Ja'Lynn Polk","WR","NE",107,36.5,1.47,30.8,140,-83.5,-141,-69.8,250,394,241,69,11,153,2.89,99,191,-84,-68
"252",252,"Darius Slayton","WR","NYG",105,13.9,0.906,92.7,127,-85,-79.1,-82.9,252,251,268,71,11,171,1.48,76,191,-86,-70
"253",253,"Demarcus Robinson","WR","LAR",105,17.9,1.49,78.5,131,-85.9,-93.3,-79.2,252,301,259,71,11,170,1.9,96,191,-86,-70
"254",254,"Ray Davis","RB","BUF",80,17.1,0.00342,65,108,-90.6,-88,-95.9,254,273,290,52,12,148,3.29,66,171,-91,-95
"255",255,"MarShawn Lloyd","RB","GB",80,20.7,0.224,53,113,-90.6,-100,-91,254,325,280,52,12,146,3.29,79,171,-91,-95
"256",256,"Jordan Mason","RB","SF",79.8,18.4,1.14,49.1,101,-90.8,-104,-103,256,329,314,54,12,160,3.44,94,171,-91.2,-95.2
"257",257,"Bucky Irving","RB","TB",78.6,13.4,1.32,61.6,101,-91.9,-91.4,-103,257,289,311,55,12,153,3.64,52,171,-92.4,-96.4
"258",258,"Jamaal Williams","RB","NO",77.3,6.94,1.48,70.7,89.8,-93.2,-82.3,-114,258,262,341,56,12,176,2.87,24,171,-93.7,-97.7
"259",259,"Alexander Mattison","RB","LVR",75.8,13.2,2.15,54.1,94.8,-94.7,-98.8,-109,259,324,328,57,12,174,2.17,54,171,-95.2,-99.2
"260",260,"Braelon Allen","RB","NYJ",73.7,16.8,5.55,57.2,102,-96.9,-95.8,-102,260,314,310,58,12,158,4.07,69,171,-97.3,-101.3
"261",261,"Roschon Johnson","RB","CHI",68.1,22.4,0.673,41.3,98.8,-102,-112,-105,261,336,318,59,13,171,1.17,80,171,-102.9,-106.9
"262",262,"Tyrone Tracy","RB","NYG",67.4,22.4,2.7,38.3,104,-103,-115,-100,262,342,302,60,13,156,3.43,97,171,-103.6,-107.6
"263",263,"Samaje Perine","RB","DEN",64.7,20.7,0.459,34,97.4,-106,-119,-106,263,346,322,61,13,166,2.21,92,171,-106.3,-110.3
"264",264,"Miles Sanders","RB","CAR",64.3,21.3,1.35,32.2,91,-106,-121,-113,264,348,334,62,13,177,2.04,83,171,-106.7,-110.7
"265",266,"Kenneth Gainwell","RB","PHI",62.9,29.5,2.59,19.5,100,-108,-133,-104,265,371,315,63,13,172,1.51,93,171,-108.1,-112.1
"266",265,"Gardner Minshew","QB","LVR",206,44.6,39.9,149,267,-108,-131,-80,266,363,261,31,10,157,4.67,86,316,-110,-9999
"267",267,"Clyde Edwards-Helaire","RB","KC",60.3,20.8,0.0597,26.1,83.3,-110,-127,-121,267,358,360,64,13,174,1.94,85,171,-110.7,-114.7
"268",268,"Jerick McKinnon","RB","FA",60.3,12.7,1.02,52.2,69.7,-110,-101,-134,267,328,393,64,13,,,70,171,-110.7,-114.7
"269",269,"Justice Hill","RB","BAL",59.3,26,1.67,17.9,99.7,-111,-135,-104,269,377,316,66,13,171,2.88,90,171,-111.7,-115.7
"270",270,"Dameon Pierce","RB","HOU",57.6,8.04,1.01,47.2,69.9,-113,-106,-134,270,330,392,67,13,165,1.68,41,171,-113.4,-117.4
"271",271,"Jaylen Wright","RB","MIA",56.6,34.9,1.3,7.19,102,-114,-146,-101,271,411,307,68,13,140,3.35,99,171,-114.4,-118.4
"272",272,"DOnta Foreman","RB","CLE",55.3,13.5,2.64,40.1,73.9,-115,-113,-130,272,338,385,69,13,182,1.62,72,171,-115.7,-119.7
"273",273,"Tank Bigsby","RB","JAC",52.6,10.5,1.44,34.6,64.7,-118,-118,-139,273,345,403,70,13,174,1.28,46,171,-118.4,-122.4
"274",274,"Audric Estime","RB","DEN",51.2,24.6,0.884,11.5,77.3,-119,-142,-127,274,395,374,71,14,167,2.63,89,171,-119.8,-123.8
"275",275,"Keaton Mitchell","RB","BAL",50.3,16.4,0.389,32.2,70.6,-120,-121,-133,275,347,390,72,14,180,2.59,76,171,-120.7,-124.7
"276",276,"Drake Maye","QB","NE",166,76.3,49.8,64.2,259,-148,-216,-87.7,276,497,275,32,11,136,6.47,97,316,-150,-9999
"277",277,"Jacoby Brissett","QB","NE",116,81.1,1.3,42.3,240,-197,-238,-108,277,500,325,33,11,170,2.3,99,316,-200,-9999
"278",278,"Justin Fields","QB","PIT",115,56,40,42.8,188,-199,-238,-159,278,499,428,34,12,176,3.44,94,316,-201,-9999
"279",279,"Aidan O'Connell","QB","LVR",74.9,43.3,8.32,25.3,130,-239,-255,-217,279,501,501,35,12,170,3.14,89,316,-241.1,-9999
"280",280,"Taysom Hill","QB","NO",66.5,12.6,10.7,57.7,74.6,-247,-223,-273,280,498,502,36,13,149,2.4,80,316,-249.5,-9999
