"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"195","Jason Sanders","K","MIA",133,6.25,0.219,125,141,-7.77,-3.51,-14.2,187,146,237,17,"2",171,1.53,6
"196","Dalton Kincaid","TE","BUF",101,21,3.75,79.4,137,-7.94,-18,0.362,188,284,127,18,"7",122,5.78,74
"197","Eddy Pineiro","K","CAR",133,8.95,1.58,121,144,-7.98,-7.4,-10.8,189,177,196,18,"2",171,1.28,74
"198","JuJu Smith-Schuster","WR","NE",149,19.6,1.12,126,178,-8.1,-9.46,-1.52,190,196,141,39,"7",119,4.61,68
"199","Rashan Gary","DL","GB",66.4,21.3,0.674,53.9,90.8,-8.16,-14.6,0,191,246,130,25,"4",NA,NA,87
"200","Jets","DST","NYJ",88.4,8.93,0.0362,75.8,99.4,-8.18,-9.08,-11.7,192,192,205,15,"8",134,1.48,55
"201","Lions","DST","DET",88.4,11.6,0.369,66.9,97.4,-8.21,-18,-13.7,193,285,228,16,"9",167,0,77
"202","Cole Holcomb","LB","PIT",114,42.5,0.379,85.9,163,-8.45,-15.2,-0.252,194,254,131,16,"1",NA,12.5,84
"203","Chargers","DST","LAC",88,10.6,0.875,71.7,98.5,-8.58,-13.2,-12.6,195,234,212,17,"10",169,0,45
"204","T.J. Watt","LB","PIT",114,NA,0.52,NA,NA,-8.83,NA,NA,196,NA,NA,17,"1",NA,10.1,NA
"205","Quinnen Williams","DL","NYJ",65.7,10.5,0.22,59.5,77.8,-8.84,-9.08,-13,197,191,217,26,"4",NA,6.46,47
"206","Jared Goff","QB","DET",319,19.7,6.97,293,341,-9.01,-9.8,-3.07,198,198,148,14,"5",124,4.8,37
"207","Josh Sweat","DL","PHI",65.5,8.99,1.68,60.3,75.8,-9.06,-8.29,-15,199,185,245,27,"5",NA,4.49,44
"208","Jalen Thompson","DB","ARI",95.8,17.8,0.474,80,114,-9.07,-10.2,-10.1,200,205,190,23,"2",NA,4.82,56
"209","Courtland Sutton","WR","DEN",148,20.6,6.57,123,179,-9.22,-12.5,-0.67,201,226,135,40,"7",108,7.43,65
"210","Lavonte David","LB","TB",113,39.8,0.156,88.9,159,-9.35,-12.2,-4,202,225,154,18,"1",NA,10.3,71
"211","Rams","DST","LAR",87.1,7.07,0.135,75.7,93.9,-9.46,-9.16,-17.2,203,194,261,18,"10",170,0,65
"212","Jordan Hicks","LB","MIN",113,32.6,0.0372,90.8,150,-9.5,-10.3,-12.6,204,206,213,19,"1",NA,6.22,43
"213","Eric Kendricks","LB","LAC",113,23,0.796,99.6,139,-9.54,-1.49,-23.4,205,138,317,20,"1",NA,9.7,14
"214","Russ Yeast","DB","LAR",95.3,10.6,0.282,88.1,103,-9.55,-2.13,-21.7,206,140,302,24,"2",NA,NA,22
"215","Greg Zuerlein","K","NYJ",131,8,1.94,121,142,-9.57,-8.04,-12.9,207,183,216,19,"3",168,1.63,26
"216","Texans","DST","HOU",87,10.3,0.81,74.4,99.7,-9.59,-10.5,-11.4,208,208,202,19,"11",165,0,94
"217","Xavier McKinney","DB","NYG",95,23.5,0.151,81.8,122,-9.83,-8.41,-2.33,209,186,145,25,"2",NA,5.04,81
"218","Marcus Epps","DB","LVR",94.9,12.3,0.617,84.7,108,-9.98,-5.53,-16.1,210,158,253,26,"2",NA,4.06,31
"219","DeVondre Campbell","LB","GB",112,29.6,0.153,94,146,-10.3,-7.12,-16.7,211,173,258,21,"1",NA,7.58,35
"220","Ravens","DST","BAL",86.2,11.3,0.477,70.6,99.2,-10.4,-14.3,-11.8,212,244,206,20,"11",151,1.59,48
"221","Matt Milano","LB","BUF",112,8.54,0.842,104,119,-10.5,2.41,-43.8,213,119,471,22,"1",NA,7.03,4
"222","Kyle Dugger","DB","NE",94.3,7.13,0.0736,87,99.6,-10.6,-3.23,-24.7,214,144,323,27,"2",NA,6.58,9
"223","Matt Judon","DL","NE",63.8,1.77,0.221,62.5,65,-10.7,-6,-25.8,216,163,335,28,"5",NA,7.9,11
"224","Jartavius Martin","DB","WAS",94.2,NA,0.483,NA,NA,-10.7,NA,NA,215,NA,NA,28,"2",NA,2.83,NA
"225","Jaguars","DST","JAC",85.7,10.8,2.19,68,95.3,-10.9,-16.9,-15.8,217,269,248,21,"12",164,0.585,71
"226","Samaje Perine","RB","DEN",135,22.6,7.75,111,166,-11,-5.05,-5.98,218,154,170,36,"9",118,5.28,48
"227","Randy Gregory","DL","DEN",63.6,2.47,1.84,62,65.4,-11,-6.51,-25.4,219,168,331,29,"5",NA,2.74,18
"228","Jamal Adams","DB","SEA",93.7,10.6,0.277,83.6,104,-11.2,-6.64,-20.7,220,171,290,29,"2",NA,5.9,20
"229","Josey Jewell","LB","DEN",111,29.1,0.899,91.8,144,-11.3,-9.33,-18.4,221,195,274,23,"1",NA,7.66,33
