"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"201","Chuba Hubbard","RB","CAR",125,20.7,4.33,101,158,-45.3,-52.1,-46.2,196,202,200,40,"9",128,4.15,44
"202","Cade York","K","WAS",97.8,36.2,18.8,31.9,123,-45.8,-101,-33.4,197,327,184,32,"7",170,0,99
"203","Ladd McConkey","WR","LAC",144,15.9,0.355,121,172,-46.8,-50.5,-38.4,198,199,191,46,"9",110,5.43,70
"204","Marquise Brown","WR","KC",143,23.5,4.13,116,177,-47.2,-56.1,-33.1,199,214,183,47,"9",109,4.72,87
"205","J.K. Dobbins","RB","LAC",121,25,5.8,89.9,155,-49.6,-63.1,-48.8,200,223,208,41,"10",123,5.6,82
"206","Mike Gesicki","TE","CIN",69.4,15.9,3.1,47.5,91.2,-49.7,-51.4,-51.9,201,200,213,29,"10",177,3.78,65
"207","Will Levis","QB","TEN",264,25.1,13.2,229,293,-50,-51.7,-54.1,202,201,218,26,"7",153,2.37,66
"208","Brian Thomas Jr.","WR","JAC",139,13.4,0.135,118,154,-51.3,-54.2,-56.1,203,208,219,48,"9",122,5.76,57
"209","Keon Coleman","WR","BUF",139,24.4,0.0687,103,177,-51.5,-69,-33.4,204,231,185,49,"9",106,6.08,94
"210","Romeo Doubs","WR","GB",139,19.9,0.495,114,167,-51.5,-58.1,-43.7,205,218,197,50,"9",130,2.95,74
"211","Khalil Shakir","WR","BUF",138,14.1,0.0807,122,161,-52,-49.9,-49.1,206,196,209,51,"9",126,3.45,73
"212","Rashid Shaheed","WR","NO",138,13.8,0.406,119,161,-52.1,-53.1,-49.6,207,206,210,52,"9",144,2.42,50
"213","Rome Odunze","WR","CHI",138,20.5,0.167,101,164,-52.5,-70.4,-46.3,208,234,202,53,"9",108,8.29,86
"214","Josh Palmer","WR","LAC",138,9.15,0.0824,126,153,-52.7,-46.3,-57.2,209,191,221,54,"9",132,4.04,47
"215","Jerry Jeudy","WR","CLE",138,20.8,0.533,99.9,165,-52.8,-72,-45.7,210,236,199,55,"9",141,3.06,80
"216","Hayden Hurst","TE","LAC",66.3,19.9,0.783,33.2,91.1,-52.8,-65.6,-51.9,211,225,214,30,"10",170,0.972,82
"217","Brandin Cooks","WR","DAL",137,9.77,0.0949,124,148,-53.3,-48.1,-61.8,212,194,227,56,"9",144,3.03,43
"218","Tyler Lockett","WR","SEA",137,9.18,1.82,124,149,-53.4,-48.1,-60.8,213,193,225,57,"9",143,4.2,31
"219","Tyler Higbee","TE","LAR",65.5,12,0.0791,48.4,81.2,-53.6,-50.5,-61.9,214,198,228,31,"10",170,2.02,53
"220","Daniel Bellinger","TE","NYG",65.4,22.2,0.0656,35.9,101,-53.7,-63,-42.3,215,221,196,32,"10",170,1.14,88
"221","Greg Dulcich","TE","DEN",65.3,22.3,0.193,39.7,106,-53.7,-59.2,-37.5,216,219,187,33,"10",184,1.93,94
"222","Kylen Granson","TE","IND",65.1,10.7,0.982,53,85.2,-53.9,-45.8,-57.8,217,190,222,34,"10",170,1.33,50
"223","Tucker Kraft","TE","GB",64.2,6.73,1.9,54.5,72.2,-54.9,-44.3,-70.8,218,187,244,35,"10",171,1.63,32
"224","Adam Thielen","WR","CAR",135,11.7,1.89,123,156,-55.2,-49.2,-53.9,219,195,216,58,"9",144,2.69,64
"225","Rico Dowdle","RB","DAL",115,16.6,1.86,97.8,141,-55.4,-55.2,-63.1,220,210,231,42,"10",124,4.77,58
"226","Dawson Knox","TE","BUF",62.3,10.6,1.75,45.5,77.6,-56.8,-53.3,-65.4,221,207,234,36,"11",160,1.68,21
"227","Curtis Samuel","WR","BUF",133,21.6,5.33,99.1,165,-57.1,-72.7,-45.2,222,239,198,59,"10",138,2.92,84
"228","Ty Chandler","RB","MIN",113,8,1.22,100,123,-57.3,-52.8,-81.1,223,204,264,43,"10",142,2.65,1
"229","Antonio Gibson","RB","NE",112,10.5,5.07,97.5,123,-58.5,-55.5,-80.9,224,211,263,44,"10",146,2.32,11
"230","Gabriel Davis","WR","JAC",128,22.5,0.846,95.4,164,-62.4,-76.5,-46.3,229,246,201,60,"10",154,2.55,90
"231","Sam Darnold","QB","MIN",250,42.4,7.35,187,301,-63.2,-93.1,-46.5,232,298,203,27,"8",168,7.94,91
"232","Demario Douglas","WR","NE",127,6.18,4.54,120,138,-63.3,-52.2,-72.2,233,203,248,61,"10",167,2.24,19
"233","Tyler Allgeier","RB","ATL",107,18.9,1.33,83.3,135,-63.6,-69.7,-68.8,235,232,238,45,"10",135,2.79,45
"234","Zach Charbonnet","RB","SEA",106,13.1,2.13,85.4,123,-64.9,-67.6,-81.3,238,230,265,46,"10",135,2.23,8
"235","Blake Corum","RB","LAR",104,26.4,0.767,55.3,130,-67,-97.7,-73.8,241,319,249,47,"10",119,4.7,73
"236","Jaleel McLaughlin","RB","DEN",103,11.2,0.243,89.9,116,-67.8,-63.1,-87.9,242,222,276,48,"10",139,3.07,15
"237","Mike Williams","WR","NYJ",123,31.7,3.28,61.6,153,-67.8,-110,-57,243,334,220,62,"10",140,3.44,99
"238","Trey Benson","RB","ARI",103,23.9,8.02,61.4,134,-68,-91.6,-69.8,244,293,240,49,"11",120,5.55,63
"239","Bo Nix","QB","DEN",243,22.2,3.79,220,275,-70.6,-60.4,-71.8,246,220,246,28,"8",148,5.1,77
"240","Darnell Mooney","WR","ATL",119,29.1,0.428,63.5,147,-71.1,-108,-62.8,247,332,230,63,"10",158,2.62,97
"241","Michael Wilson","WR","ARI",119,23.2,2.31,94,163,-71.5,-77.8,-47.3,248,249,206,64,"10",161,1.84,89
"242","John Stephens Jr.","WR","DAL",117,NA,0.453,NA,NA,-73.8,NA,NA,250,NA,NA,65,"10",NA,NA,NA
"243","Josh Downs","WR","IND",116,20.7,0.877,92,156,-74.3,-79.9,-54.1,251,253,217,66,"10",155,1.37,93
"244","Bryce Young","QB","CAR",239,23.6,4,190,255,-74.4,-90.1,-92.6,252,279,284,29,"8",170,3.79,69
